product,author,rating_count,rating,price,product_url
Practical Linear Algebra for Data Science: From Core Concepts to Applications Using Python  ,Mike Cohen,3  ,3.9  ,54.24,https://www.amazon.com/Practical-Linear-Algebra-Data-Science/dp/1098120612/ref=sr_1_11?keywords=data+science&qid=1669446452&sr=8-11
Python for Data Science: A Hands-On Introduction  ,Yuli Vasiliev,11  ,4.6  ,27.99,https://www.amazon.com/Python-Data-Science-Example-Vasiliev/dp/1718502206/ref=sr_1_12?keywords=data+science&qid=1669446452&sr=8-12
Practical Statistics for Data Scientists: 50+ Essential Concepts Using R and Python  ,"Peter Bruce, Andrew Bruce",719  ,4.6  ,31.25,https://www.amazon.com/Practical-Statistics-Data-Scientists-Essential/dp/149207294X/ref=sr_1_13?keywords=data+science&qid=1669446452&sr=8-13
Python Data Science Handbook: Essential Tools for Working with Data  ,Jake VanderPlas,610  ,4.6  ,57.57,https://www.amazon.com/Python-Data-Science-Handbook-Essential/dp/1491912057/ref=sr_1_14?keywords=data+science&qid=1669446452&sr=8-14
Data Science For Dummies (For Dummies (Computer/Tech))  ,Lillian Pierson,45  ,4.7  ,25.49,https://www.amazon.com/Data-Science-Dummies-Lillian-Pierson/dp/1119811554/ref=sr_1_15?keywords=data+science&qid=1669446452&sr=8-15
"Machine Learning: 4 Books in 1: The #1 Beginner's Guide to Master the Basics of Python Programming, Learn the Art of Data Science and Build Artificial Intelligence  ","Andrew Park, Russell Newton",291  ,4.7  ,0.0,https://www.amazon.com/Data-Science-Beginners-Programming-Learning/dp/B0869Q3Z3H/ref=sr_1_16?keywords=data+science&qid=1669446452&sr=8-16
"Data Analytics, Data Visualization & Communicating Data: 3 books in 1: Learn the Processes of Data Analytics and Data Science, Create Engaging Data ... Present Data Effectively (All Things Data)  ",Elizabeth Clarke,15  ,4.8  ,15.68,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A099800857YLNLKS5F3Q&qualifier=1669446452&id=6257798347730016&widgetName=sp_mtf&url=%2FData-Analytics-Visualization-Communicating-Effectively%2Fdp%2F1777967198%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Ddata%2Bscience%26qid%3D1669446452%26sr%3D8-17-spons%26psc%3D1
"Mastering Microsoft Power BI: Expert techniques to create interactive insights for effective data analytics and business intelligence, 2nd Edition  ","Greg Deckler, Brett Powell",41  ,4.7  ,44.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A04632283281TRPYMOMT&qualifier=1669446452&id=6257798347730016&widgetName=sp_mtf&url=%2FMastering-Microsoft-Power-interactive-intelligence%2Fdp%2F1801811482%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Ddata%2Bscience%26qid%3D1669446452%26sr%3D8-18-spons%26psc%3D1
"Time Series Analysis with Python Cookbook: Practical recipes for exploratory data analysis, data preparation, forecasting, and model evaluation  ",Tarek A. Atwan,15  ,4.8  ,49.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0395205H9HMVI56EU2K&qualifier=1669446452&id=6257798347730016&widgetName=sp_mtf&url=%2FTime-Analysis-Python-Cookbook-exploratory%2Fdp%2F1801075549%2Fref%3Dsr_1_19_sspa%3Fkeywords%3Ddata%2Bscience%26qid%3D1669446452%26sr%3D8-19-spons%26psc%3D1
Practical Data Science with Python: Learn tools and techniques from hands-on examples to extract insights from data  ,Nathan George,22  ,4.7  ,51.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A03905121U6XJXPNBHIFG&qualifier=1669446452&id=6257798347730016&widgetName=sp_mtf&url=%2FPractical-Data-Science-Python-hands%2Fdp%2F1801071977%2Fref%3Dsr_1_20_sspa%3Fkeywords%3Ddata%2Bscience%26qid%3D1669446452%26sr%3D8-20-spons%26psc%3D1
