,Job Title,Company,Location,Requirements,Years of Experience,Tags,Link
57,Principal Engineer Data Science II AI models II Machine Learning,People Resources,Bangalore,8+ Years experience in developing AI modelsStrong knowledge in Machine Learning & Deep ...,8-13 Yrs," Data Processing, Machine Learning, ETL, R, Scala, Tableau, SQL, Python",https://www.naukri.com/job-listings-principal-engineer-data-science-ii-ai-models-ii-machine-learning-people-resources-bangalore-bengaluru-8-to-13-years-211122601173
58,Manager - Data Science - Biomass Technology Firm,Grok,Multiple,"On the technical side, you will initiate new machine learning initiatives, including sc...",5-10 Yrs," Content Writing, Editorial, data science, Machine learning, Data collection, Manager Technology, Instrumentation, Hardware",https://www.naukri.com/job-listings-manager-data-science-biomass-technology-firm-grok-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-5-to-10-years-241122904768
59,Senior Manager - Data Science,Tredence,Multiple,Solve some of the most impactful business problems for our clients. Lead multiple teams...,5-8 Yrs," Data management, data science, GCP, Machine learning, Natural language processing, Data analytics, data visualization, Data mining",https://www.naukri.com/job-listings-senior-manager-data-science-tredence-analytics-solutions-private-limited-chennai-gurgaon-gurugram-bangalore-bengaluru-5-to-8-years-270922501604
60,Data Science Lead,Koch Industries,Bangalore,A successful candidate will bring advanced knowledge of best-in-class data science meth...,4-7 Yrs," BPO, data analysis, Supply chain, data science, SAS, Consulting, Machine learning, Data analytics",https://www.naukri.com/job-listings-data-science-lead-koch-technology-center-bangalore-bengaluru-4-to-7-years-291022500391
61,Lead - Analytics & Data Science,Cadenz.ai,Bangalore,"The Data Science Team in TDT is expected to build fitting analytics, BI and ML solution...",15-20 Yrs," IT Skills, Python, Data Science, Machine Learning, Cloud, Big Data, AWS, deep learning",https://www.naukri.com/job-listings-lead-analytics-data-science-cadenz-ai-bangalore-bengaluru-15-to-20-years-080822500135
62,Data Science Lead,Koch Industries,Bangalore,Georgia Pacific LLC is looking for a Data Science Leader to join our Decision Analytics...,15-19 Yrs," Data Science, advanced analytics, Data analysis, SAS, Machine learning, Data analytics, SQL, Python",https://www.naukri.com/job-listings-data-science-lead-koch-business-solutions-india-private-limited-bangalore-bengaluru-15-to-19-years-031122914191
63,Data Science Manager,Seven Consultancy (HR Solution),Bangalore,Be able to take the initiative and work with minimum guidance and requirementsMust have...,5-10 Yrs," data science, big data analytics, Workflow management, Consulting, Machine learning, Infrastructure, Programming, Data structures",https://www.naukri.com/job-listings-data-science-manager-seven-consultancy-hr-solution-bangalore-bengaluru-5-to-10-years-280322501503
64,"Data Science Lead , Sales Analytics",Zscaler Softech,Bangalore,6 years of hands on experience in advanced statistical analysis using various techniques,3-6 Yrs," Interpersonal skills, Sales, Sales operations, data science, Business analytics, Analytical, Silicon, Data analytics",https://www.naukri.com/job-listings-data-science-lead-sales-analytics-cloudneeti-bangalore-bengaluru-3-to-6-years-041122501451
65,"Data Science Lead , Sales Analytics",Zscaler Softech,Bangalore,6 years of hands on experience in advanced statistical analysis using various techniques,3-6 Yrs," Interpersonal skills, Sales, Sales operations, data science, Business analytics, Analytical, Silicon, Data analytics",https://www.naukri.com/job-listings-data-science-lead-sales-analytics-zscaler-inc-bangalore-bengaluru-3-to-6-years-031122501317
66,Senior Research Scientist - Data Science (Chemistry),Syngenta,goa,Company DescriptionSyngenta is one of the worlds leading agriculture innovation company...,3-8 Yrs," Chemistry, sql, Python, Chemical Analysis, Analytics",https://www.naukri.com/job-listings-senior-research-scientist-data-science-chemistry-syngenta-india-limited-goa-3-to-8-years-021122006500
